Symbol,Spot Price,Strike Price,Volatility,Interest Rate,Time to Maturity (Days),Option Type,Expiry Date
USD/CHF,1.2069617331847153,1.1148208501802297,0.1364122438030678,0.04459322832319617,126,Call,2025-09-09
USD/CHF,1.0534281653807673,1.2778897797631266,0.06601319325197721,0.04945645442209932,54,Call,2025-06-29
AUD/USD,1.1038508808242917,1.2953276806969671,0.2411607838868648,0.005563930074422086,313,Put,2026-03-15
USD/JPY,1.1728797862424296,1.1537376146169658,0.10663389504476586,0.010849598305426518,291,Call,2026-02-21
USD/CHF,1.1443388890081494,1.1529715196665444,0.15437413674105468,0.015864436438233608,279,Call,2026-02-09
USD/JPY,1.1407706160412336,1.1197008062169802,0.18659763297037155,0.009809029741373505,317,Put,2026-03-19
EUR/USD,1.1078113510310887,1.2355934138178135,0.10478741120570297,0.03412615512042882,187,Put,2025-11-09
AUD/USD,1.2131239424764004,1.1944866888407886,0.10472896316836514,0.016218122186150447,122,Call,2025-09-05
AUD/USD,1.1828908979420085,1.1193220386223015,0.16037971617595714,0.01929450377196785,342,Put,2026-04-13
USD/JPY,1.0638103029924841,1.1491249090602251,0.06053100112314605,0.0429490274584422,300,Call,2026-03-02
USD/JPY,1.1487927007521475,1.1978059801530252,0.10383549250935115,0.01376149754881642,223,Put,2025-12-15
EUR/USD,1.131365488301468,1.2094202502041245,0.10623020181930161,0.03115764878724729,254,Call,2026-01-15
GBP/USD,1.1496597169287963,1.0930103266115327,0.09277047327137054,0.01841452826136079,267,Call,2026-01-28
USD/JPY,1.074878717841567,1.2787302544284804,0.24135149407666873,0.03175357240541866,364,Put,2026-05-05
USD/JPY,1.1395200399068206,1.2921474664567894,0.12185578649214353,0.026122460330062453,187,Put,2025-11-09
USD/CHF,1.1126842052805421,1.1082137426711332,0.13941431682086616,0.019791912335448282,81,Call,2025-07-26
AUD/USD,1.2456715514078778,1.123081285186085,0.10918070143444554,0.04868149393019516,274,Call,2026-02-04
AUD/USD,1.2299219030474826,1.1522530264570112,0.1824562945774222,0.01024321252626549,226,Put,2025-12-18
AUD/USD,1.2136099500663835,1.1621778038932664,0.1203771397151206,0.021233158780185925,146,Call,2025-09-29
GBP/USD,1.1929728772858674,1.1808674833112327,0.1938693942060985,0.009818616198855008,132,Call,2025-09-15
